5.098,23.19,[' (ErrorTag:Technique Error, ErrorDescription:Do not peel garlic), (StepDescription: Peel-Peel 1 garlic cloves), (StepModifiedDescription: Peel-Do not peel 1 garlic cloves)']
24.265,46.461,[' (ErrorTag:Temperature Error, ErrorDescription:Heat-Heat a large pan on high heat), (StepDescription: Heat-Heat a large pan on medium heat), (StepModifiedDescription: Heat-Heat a large pan on high heat)']
54.113,112.042,[' (StepDescription: Melt-Melt 1 tablespoons of softened butter)']
117.80799999999999,146.201,[' (ErrorTag:Preparation Error, ErrorDescription:Add un peeled not minced garlic clove to the pan), (StepDescription: Add-Add 1 large minced garlic cloves to the pan), (StepModifiedDescription: Add-Add 1 large garlic clove to the pan)']
150.126,191.256,[' (ErrorTag:Preparation Error, ErrorDescription:Grate 1 medium zucchini into thin noodles), (StepDescription: Spiralize-Spiralize 1 medium zucchini into thin noodles using a spiralizer), (StepModifiedDescription: Grate -Grate 1 medium zucchini into thin noodles using a grater)']
195.548,435.985,[' (ErrorTag:Timing Error, ErrorDescription:Wash all dishes while cooking for 3 minutes to burn the garlic), (StepDescription: Cook-Cook garlic until fragrant (about 1 minutes). Be careful not to burn garlic), (StepModifiedDescription: Cook-Wash all dishes while cooking for 3 minutes to burn the garlic)']
442.212,458.23,[' (StepDescription: season-pepper to taste)']
476.49,510.178,[' (ErrorTag:Measurement Error, ErrorDescription:Add-1 cup grated parmesan cheese), (StepDescription: Add-1/6 cup grated parmesan cheese), (StepModifiedDescription: Add-1 cup grated parmesan cheese)']
518.962,531.033,[' (StepDescription: Add-Add the zucchini noodles)']
577.389,623.696,[' (ErrorTag:Technique Error, ErrorDescription:Drop salt spoon while seasoning), (StepDescription: season-season with salt), (StepModifiedDescription: season-season with salt (drop the spoon))']
647.88,652.028,[' (StepDescription: Remove-Remove from heat)']
