,idx,title,ingredients,directions,#actions
11954,11954,Asian Beef Stew,"[""2 medium onions, diced"", ""4 Tbsp. vegetable oil"", ""3 lb. stew beef, cut in 1 1/4-inch chunks"", ""4 cloves garlic, minced"", ""3 c. water"", ""2 Tbsp. sugar"", ""1 1/2 tsp. salt"", ""1/4 tsp. pepper"", ""2 bay leaves"", ""1 lb. carrots"", ""1 lb. white turnips (3 or 4)"", ""3 (2 x 1/2-inch) strips lemon peel"", ""1 (6 oz.) tomato paste"", ""1 tsp. cinnamon"", ""1 tsp. anise seed"", ""12 shallots, peeled""]","[""Heat wok over high heat 1 minute."", ""Drizzle 1 tablespoon oil into wok."", ""Heat 30 seconds."", ""Add 1/2 of beef and stir-fry about 5 minutes until brown."", ""Repeat with remaining beef."", ""Remove beef to bowl; set aside."", ""Add 1 tablespoon oil to wok."", ""On medium heat, add shallots."", ""Cook 3 minutes."", ""Remove to same bowl."", ""Repeat same for onion and garlic."", ""Return all beef and juices to wok; add water, sugar, salt, anise seed, cinnamon, pepper and bay leaves. Reduce heat; cover 1 1/4 hours until meat is done."", ""Peel carrots and turnips; cut into 8 wedges."", ""Add carrots, turnips, shallots and lemon peel to beef."", ""Cook until tender, about 30 minutes, stirring occasionally."", ""Remove bay leaf and lemon peel."", ""Stir in tomato paste."", ""Cook until sauce boils and thickens, then serve.""]",9
19526,19526,Fancy Chicken Puff Pie,"[""1/4 c. butter or margarine"", ""1/4 c. chopped shallots"", ""1/4 c. all-purpose flour"", ""1 c. chicken stock or broth"", ""1/4 c. sherry"", ""1/8 tsp. white pepper"", ""pinch of ground nutmeg"", ""1/4 lb. ham, cut in 2 x 1/4-inch strips"", ""3 c. cooked chicken, cut in 2 x 1/4-inch strips"", ""1 1/2 c. fresh asparagus or 10 oz. pkg. frozen"", ""1 c. (1/2 pt.) heavy cream"", ""chilled pie crust for 1 crust pie or frozen puff pastry"", ""1 egg, beaten""]","[""In medium saucepan over medium heat, melt butter and saute shallots lightly. Stir in flour and cook for 3 minutes. Add broth and sherry."", ""Heat to boiling, stirring constantly."", ""Season to taste with salt, pepper and nutmeg."", ""Reduce heat and simmer 5 minutes. Stir in ham, chicken, asparagus and cream."", ""Pour chicken mixture into an ungreased 9-inch pie pan."", ""Preheat oven to 425\u00b0. Cut an 8-inch circle from crust."", ""Cut hearts out of extra dough with a cookie cutter, if desired."", ""Place circle on a cookie sheet and moisten with cold water."", ""Pierce with a fork and brush with egg."", ""Decorate with hearts which are also brushed with egg."", ""Bake crust and full pie plate for 10 minutes, reduce heat to 350\u00b0 and bake another 10 to 15 minutes or until pastry is golden brown and filling is hot and set."", ""With a spatula, place pastry over hot filling and serve."", ""Makes 4 servings.""]",9
29487,29487,Chili Verde Con Carne,"[""2 lb. beef round steak, cut 3/4 inch thick"", ""1/3 c. flour"", ""1 tsp. salt or to taste"", ""1/4 c. oil"", ""1 tsp. each: cumin and sugar"", ""1 (28 oz.) can tomatoes"", ""2 Tbsp. lemon juice"", ""1/2 c. boiling water"", ""1 medium green pepper, chopped"", ""1 medium onion, chopped"", ""1 (4 oz.) can chopped green chiles"", ""1/3 c. snipped parsley"", ""cooked rice""]","[""Partially freeze steak and cut into strips 1/8 to 1/4-inch thick."", ""Dredge meat strips in combined flour and salt."", ""In a large skillet, brown 1/3 of the meat."", ""Repeat until all meat has been browned."", ""Drain drippings."", ""Sprinkle cumin and sugar on meat. Drain tomatoes, reserving liquid."", ""Cut tomatoes into pieces and reserve."", ""Add tomato liquid, lemon juice and garlic to meat; stir to combine."", ""Stir green pepper, onion, chiles and parsley into meat mixture."", ""Cover tightly and cook on low heat for 45 minutes, stirring occasionally."", ""Stir in reserved tomatoes; continue cooking, covered, 15 minutes or until meat is tender."", ""Serve over cooked rice."", ""Makes 6 to 8 servings.""]",9
33356,33356,Fruited Pot Roast,"[""4 lb. top of rib/beef brisket"", ""1/2 c. chopped onion"", ""1/4 c. chopped carrot"", ""1 tsp. salt"", ""1 c. pitted prunes"", ""1/2 c. dried apricots"", ""2 Tbsp. vegetable oil"", ""1/4 c. dry red wine"", ""1 clove garlic, minced"", ""1/8 tsp. pepper"", ""3 Tbsp. flour""]","[""In Dutch oven brown meat on both sides in hot oil."", ""Remove from heat; add onion, carrots, wine, garlic, salt and pepper."", ""Cover and simmer for 1 3/4 to 2 hours or until meat is tender."", ""Meanwhile, pour 1 1/2 cups hot water over prunes and apricots."", ""Let stand while roast is cooking."", ""Drain, reserving liquid."", ""Place fruit atop meat."", ""Cover and cook 30 to 40 minutes more or until meat is tender."", ""Remove meat and fruit to warm platter."", ""Pour pan juices into measuring cup; skim off fat."", ""Add reserved fruit liquid to pan juices to make 1 1/2 cups."", ""Return to Dutch oven; blend together flour and 1/2 cup cold water."", ""Stir into juices."", ""Cook and stir until gravy is thickened and bubbly."", ""Spoon some gravy over roast; pass remaining gravy around.""]",9
36401,36401,Hamburger-Stuffed Bread Loaf,"[""1 loaf unsliced bread (Vienna bread works well)"", ""1 lb. ground beef"", ""1 small to medium onion, peeled and chopped"", ""1 green pepper, cored and chopped"", ""1 to 2 stalks celery, washed and chopped (optional)"", ""1 Tbsp. Worcestershire sauce"", ""1 tsp. garlic powder (optional)"", ""salt and pepper to taste"", ""1 c. shredded Cheddar cheese"", ""butter or margarine""]","[""Preheat oven to 350\u00b0."", ""Slice top off of loaf and set aside. Remove bread from interior of loaf, leaving enough on the sides to form a shell."", ""Tear the bread you removed into small pieces in a mixing bowl."", ""Brown the ground beef and drain well."", ""Return to pan and add onion; cook until onion starts to get soft."", ""Add green pepper (and celery if using) and mix well."", ""Add Worcestershire sauce and seasonings."", ""Add meat mixture to bread pieces in bowl. Mix well; mix in the undiluted soup."", ""Taste test and adjust seasoning."", ""Stuff bread loaf shell with mixture."", ""Top with cheese. If desired, spread butter or margarine on the top slice you removed."", ""(You can also sprinkle it with garlic powder or more of the cheese.)"", ""Heat stuffed loaf (and top) on a cookie sheet in preheated oven approximately 15 minutes, or until cheese is melted."", ""Slice and serve.""]",9
42911,42911,Pecan Pie Cookies,"[""1 1/4 c. butter or margarine, softened and divided"", ""1/2 c. sugar"", ""1/2 c. corn syrup"", ""3 Tbsp. corn syrup"", ""2 large eggs"", ""2 1/2 all-purpose flour"", ""1/2 c. powdered sugar"", ""3/4 c. finely chopped pecans""]","[""Beat butter and sugar at medium speed with electric mixer until light and fluffy."", ""Add 1/2 cup corn syrup and egg yolks, beating well."", ""Gradually stir in flour, cover and chill for 1 hour."", ""Melt 1/4 c. butter in a heavy saucepan over medium heat, stir in powdered sugar and 3 tablespoons corn syrup."", ""Cook, stirring often until mixture boils."", ""Remove from heat and stir in pecans."", ""Chill for 30 minutes."", ""Shape mixture by 1/2 teaspoon fulls into 1/4 inch balls."", ""Place 2 inches apart on ungreased baking sheets."", ""Beat egg whites until foamy and brush on dough balls."", ""Bake at 375\u00b0 for 6 minutes."", ""Remove from oven and place pecan balls in center of each cookie."", ""Bake 6 to 8 more minutes or until lightly browned."", ""Cool 5 minutes on baking pans."", ""Remove to wire racks to cool completely."", ""Freeze if desired and serve.""]",9
46651,46651,Double Decker Fudge,"[""2 c. (12 oz. pkg.) peanut butter chips, divided"", ""1/2 c. cocoa"", ""1/4 c. butter, melted"", ""1 tsp. vanilla"", ""4 1/2 c. sugar"", ""7 oz. Marshmallow Creme"", ""1 1/2 c. (12 oz. can) evaporated milk"", ""1/4 c. butter""]","[""Line 13 x 9 x 2-inch pan with aluminum foil."", ""Place 1 cup peanut butter chips in medium bowl; set aside."", ""In second medium bowl, stir together cocoa, melted butter and vanilla until mixture is smooth."", ""Add remaining 1 cup chips; set aside."", ""In heavy 4-quart saucepan stir together sugar, Marshmallow Creme, evaporated milk and 1/4 cup butter."", ""Cook over medium heat, stirring constantly, until mixture comes to a rolling boil."", ""Boil and stir 5 minutes. Remove from heat."", ""Immediately add half of hot mixture to bowl with peanut butter chips only."", ""Pour remainder into cocoa mixture; stir to blend."", ""Beat peanut butter mixture until chips are completely melted."", ""Spread evenly in prepared pan."", ""Beat cocoa mixture until chips are melted and mixture thickens."", ""Spread evenly over top of peanut butter layer."", ""Cool until firm."", ""Remove from pan; peel off foil."", ""Cut into squares."", ""Store in airtight container in cool, dry place.""]",9
66493,66493,Polynesian Shrimp Curry,"[""2 c. milk"", ""1 (3 1/2 oz.) can flaked coconut"", ""1 lb. unpeeled medium size fresh shrimp"", ""1 (15 1/4 oz.) can pineapple chunks, drained"", ""1/2 c. butter or margarine, melted and divided"", ""1 tsp. curry powder"", ""1/3 c. chopped green onions"", ""1/3 c. chopped celery"", ""1/2 c. all-purpose flour"", ""1/2 tsp. garlic salt"", ""1 1/4 c. chicken broth"", ""hot cooked rice""]","[""Combine milk and coconut in small saucepan; bring to boil. Reduce heat and simmer 2 minutes."", ""Strain mixture; set milk and coconut aside."", ""Peel and devein shrimp."", ""Saute shrimp and pineapple chunks in 1/4 cup butter in large skillet 3 to 5 minutes or until shrimp turn pink, stirring frequently."", ""Drain shrimp mixture and discard liquid."", ""Set shrimp mixture aside."", ""Combine remaining 1/4 cup butter and curry powder in large skillet; cook over low heat, stirring constantly, 2 minutes."", ""Add green onions and celery; cook, stirring constantly until crisp-tender."", ""Combine flour and garlic salt; add to onion mixture."", ""Cook 1 minute, stirring constantly."", ""Gradually add reserved coconut milk and chicken broth; cook over medium heat, stirring constantly, until thickened and bubbly."", ""Stir in shrimp mixture and reserved coconut."", ""Serve over rice."", ""Yield:"", ""4 servings.""]",9
69397,69397,Bolognese Veal Braised In Milk,"[""4 lb. boned veal roast"", ""2 Tbsp. butter"", ""2 Tbsp. corn oil"", ""1 Tbsp. salt"", ""1/2 tsp. fresh pepper"", ""4 to 5 c. milk"", ""6 Tbsp. warm water""]","[""Rub veal with oil and butter and place in roasting pan along with a few sprigs of rosemary and sage leaves."", ""Put pan in preheated 400\u00b0 oven for 30 minutes."", ""Turn frequently and baste from time to time with the meat juices."", ""Remove veal from pan and place in covered casserole."", ""Add enough milk to immerse 2/3 of veal."", ""Cover casserole, leaving top ajar."", ""Cook slowly approximately 2 hours or until meat is done."", ""Turn and baste meat occasionally, adding any remaining milk."", ""When meat is cooked, remove to a platter and keep warm."", ""Milk in casserole should have coagulated into small nut brown clusters."", ""If not, raise heat to high."", ""Cook, uncovered, briskly until milk further reduces and darkens."", ""Skim off fat and discard, being careful not to remove any coagulated milk clusters."", ""Add warm water, turn heat to high, boil away all water while scraping and loosening all cooking residue in casserole."", ""Taste and correct seasonings."", ""Carve into 3/8-inch thick slices."", ""Spoon sauce over meat and serve immediately.""]",9
75078,75078,Cajun Gumbo(8 To 10 Servings)  ,"[""6 slices bacon"", ""1 large onion, thinly sliced"", ""2 green peppers, diced"", ""12 chicken pieces (legs and thighs)"", ""1/4 tsp. bay leaves, crushed"", ""1 tsp. salt"", ""4 c. peeled tomatoes (canned)"", ""1 1/2 lb. fish fillets, cut in 2-inch pieces"", ""1 lb. raw shrimp (medium), cleaned and deveined"", ""3 c. chopped okra or 2 (10 oz.) frozen pkg."", ""2 Tbsp. flour"", ""4 celery stalks, sliced"", ""4 garlic cloves, crushed"", ""1/2 tsp. pepper flakes"", ""1/4 tsp. thyme (powdered)"", ""1 c. chicken stock"", ""6 oz. crab meat""]","[""Place bacon in a large heavy cast-iron pot and cook 5 minutes, stirring occasionally."", ""Remove bacon; drain."", ""Remove two tablespoons fat and add flour to make a roux, stirring until light brown."", ""Reserve."", ""To pot drippings, add onion, celery, peppers and garlic."", ""Stir, cooking until vegetables are just limp."", ""Add chicken."", ""Mix well; cover and cook for 25 minutes over low to moderate heat."", ""Add pepper flakes, bay leaves, thyme and salt. Drain canned tomatoes, reserving liquid, and chop up."", ""Add with liquid to chicken."", ""Bring to a boil; add the roux and stir well. Reduce heat."", ""Add fish, shrimp, okra, crab meat and chicken broth. Bring to a boil; cover."", ""Reduce heat and simmer for 20 minutes. Adjust seasoning if necessary."", ""Crumble reserved bacon and sprinkle over top.""]",9
