,idx,title,ingredients,directions,#actions
561,561,Apple Cream Coffee Cake,"[""1/2 c. chopped walnuts"", ""2 tsp. cinnamon"", ""1 1/2 c. sugar"", ""1/2 c. softened butter or margarine"", ""2 eggs"", ""1 tsp. vanilla"", ""2 c. flour"", ""1 tsp. baking powder"", ""1 tsp. baking soda"", ""1/2 tsp. salt"", ""1 c. sour cream"", ""1 large apple, sliced thinly""]","[""Heat oven to 375\u00b0."", ""Mix in separate bowl 1/2 sugar, cinnamon and walnuts."", ""In large bowl, mix soft butter or margarine and sugar."", ""Beat until light and fluffy."", ""Add eggs and blend well; add vanilla."", ""Sift together flour, baking powder, soda and salt."", ""Mix into creamed mixture alternately with sour cream."", ""Spread half mixture into greased 10-inch tube pan."", ""Add sliced apples all around."", ""Sprinkle with half cinnamon mixture."", ""Add rest of batter, then top with remaining cinnamon mixture."", ""Bake 45 minutes.""]",6
732,732,Magloubeh,"[""2 lb. chicken or lamb"", ""1 lb. rice"", ""2 large eggplant"", ""1 head cauliflower"", ""a few potatoes, sliced thin (optional)"", ""salt and pepper to taste"", ""1/2 tsp. bahar (Middle Eastern spice)""]","[""Soak the rice for 1 hour in warm water."", ""Cook the meat in water."", ""Remove the meat and add a little butter or margarine in the water."", ""Put this water left over with the rice."", ""Fry the eggplant and cauliflower with cooking oil."", ""In a large pot, put the meat in the bottom, then the eggplant and cauliflower, then the rice and water from meat on top."", ""Cover pot and cook to a boil until the water begins to dry (about 15 to 20 minutes)."", ""Turn heat down to low until it is all dry."", ""Turn heat off and let set for 20 to 30 minutes."", ""Turn upside down on a platter."", ""Serves a lot."", ""Serve with yogurt or salad.""]",6
1425,1425,Cocido Castellano(Castillian Bean Soup; One Pot Meal)  ,"[""1 fist full garbanzos per person"", ""1 ham hock"", ""1 chorizo (Spanish sausage) or 3-inch beef smoked sausage"", ""1 beef soup bone"", ""1 medium onion"", ""1 piece smoked bacon (2 x 2 x 3-inch cube)"", ""vermicelli (very fine spaghetti noodles)"", ""collards and another onion"", ""lettuce, tomatoes, lemon salt,"", ""olive oil""]","[""Soak beans overnight (8 to 10 hours) in saltwater 3-inches over beans."", ""When ready to cook, drain off saltwater."", ""Put garbanzo beans, ham hock, sausage, soup bone, bacon and onion in boiling water and cook about 4 hours."", ""When it has cooked about 3 1/2 hours, taste."", ""Add salt if needed."", ""Saute onions in oil."", ""Add collards and pepper to taste; stir-fry."", ""Add water if needed."", ""Cook until done."", ""Next prepare fresh salad of lettuce, tomato, etc. After bean soup is cooked, strain liquid into another pot."", ""This broth is then brought to a boil (be sure to taste for salt, pepper, etc.) and use to cook the vermicelli."", ""While soup is cooking (15 to 20 minutes) separate bones and gristle or fat (skins)."", ""On a large platter or shallow serving dish, arrange garbanzos, meat and collards."", ""Put salad in separate bowl."", ""The vermicelli soup should be served and eaten first."", ""Then, the main course.""]",6
1966,1966,Amie'S French Country Chicken,"[""2 small chickens (3 lb.)"", ""1/2 lb. bacon, cut in 1/2-inch pieces"", ""12 small new potatoes"", ""2 Tbsp. butter"", ""3 Tbsp. olive oil"", ""6 medium carrots, trimmed and peeled"", ""20 to 25 tiny pearl onions"", ""4 cloves garlic, crushed"", ""1 bay leaf"", ""parsley stems"", ""sprigs of fresh thyme"", ""salt and black pepper""]","[""Preheat oven to 375\u00b0."", ""Blanch bacon in boiling water 3 minutes."", ""Drain, refresh and pat dry."", ""Peel potatoes and blanch for 5 minutes; drain and pat dry."", ""Trim fat from chicken and season."", ""Add butter and oil to large covered casserole and brown chicken over high heat."", ""Remove and set aside."", ""Add bacon to pot and brown; remove."", ""Brown pearl onions; remove."", ""Brown blanched potatoes and remove."", ""Pour off excess fat."", ""Return chicken to casserole."", ""Add bacon, vegetables, garlic and herbs."", ""Pour in 1/2 cup water; season with salt and pepper."", ""Bake for 1 hour and 15 minutes, half of the time covered."", ""Serves 6.""]",6
3644,3644,Corned Beef In Foil,"[""3 to 4 lb. corned beef"", ""1/4 c. water"", ""2 Tbsp. pickling spice"", ""1 orange, sliced"", ""1 onion, sliced"", ""1 celery stalk with leaves"", ""1 carrot, sliced""]","[""Soak corned beef in water to cover for 1/2 hour or longer if deeply corned."", ""Place a large sheet of heavy-duty foil on a shallow pan."", ""Remove corned beef from water and pat dry to remove any salt on surface."", ""Place in center of foil and pour over it 1/4 cup fresh water."", ""Sprinkle with the spice and arrange orange slices and vegetables over and around the meat."", ""Bring long ends of foil up over meat and seal with a tight double fold."", ""Seal other ends, turning them up so liquid can not run out."", ""Bake in a 300\u00b0 oven for 4 hours."", ""Remember, always slice meat across the grain.""]",6
3830,3830,Pumpkin Cheese Cake Bars,"[""1 c. all-purpose flour"", ""5 Tbsp. butter"", ""1 (8 oz.) pkg. cream cheese, softened"", ""2 eggs, slightly beaten"", ""1 tsp. ground allspice"", ""1/3 c. light brown sugar, packed"", ""1/2 c. pecans, finely chopped"", ""3/4 c. granulated sugar"", ""1/2 c. pumpkin"", ""1 1/2 tsp. ground cinnamon"", ""1 tsp. vanilla""]","[""In medium bowl, combine"", ""flour and brown sugar."", ""Cut in butter to make a crumb"", ""mixture."", ""Stir in nuts;"", ""set aside 3/4 cup mixture for"", ""topping."", ""Press remaining mixture into bottom of 8-inch square baking pan."", ""Bake"", ""in"", ""preheated oven at 350\u00b0 for 15 minutes."", ""Cool"", ""slightly."", ""In large mixer bowl, combine cream cheese,"", ""granulated"", ""sugar,"", ""pumpkin,"", ""eggs,"", ""cinnamon, allspice and vanilla;"", ""blend"", ""until\tsmooth."", ""Pour"", ""over baked crust. Sprinkle with"", ""remaining"", ""topping.\tBake an additional 35 to 40 minutes or until firm."", ""Cool."", ""Cut in bars.""]",6
4276,4276,Chili-Style Chuck Roast,"[""3 to 4 lb. beef chuck roast"", ""1 tsp. salt"", ""1/4 tsp. pepper"", ""1/3 c. Crisco"", ""2 Tbsp. firmly packed brown sugar"", ""1 1/2 tsp. dry mustard"", ""1 tsp. chili powder"", ""1 (15 1/2 oz.) can chili-style beans in chili gravy"", ""3/4 c. chopped onion"", ""1/2 c. water"", ""1 Tbsp. flour"", ""1 tsp. paprika""]","[""Preheat oven to 350\u00b0."", ""Season meat with the salt and pepper. In Dutch oven, brown meat on all sides in hot Crisco."", ""Combine the sugar, mustard, paprika and chili powder."", ""Rub over surface of meat."", ""Combine the beans in gravy, onion and the 1/2 cup water. Pour mixture directly onto, not around, the meat."", ""Cover; roast at 350\u00b0 for 2 to 2 1/2 hours or until meat is tender."", ""Remove roast and beans to warm platter."", ""Skim off excess fat."", ""Add enough water to pan drippings to make 1 cup liquid."", ""Blend 2 tablespoons cold water with the flour."", ""Add to pan juices; cook and stir until thickened and bubbly."", ""Serve gravy with meat."", ""Makes 6 to 8 servings.""]",6
4319,4319,Peanut Butter Pie,"[""2/3 c. sugar"", ""2 1/2 Tbsp. cornstarch"", ""1 Tbsp. all-purpose flour"", ""1/2 tsp. salt"", ""3 c. milk"", ""3 egg yolks, beaten"", ""1/2 c. peanut butter (creamy)"", ""1 (9-inch) pastry shell"", ""whipped cream or topping""]","[""In saucepan, stir together sugar, cornstarch, flour and salt. Gradually add milk."", ""Cook; stir over medium-high heat until thickened and bubbly."", ""Reduce heat; cook and stir 2 minutes longer."", ""Remove from heat."", ""Stir about 1 cup of mixture into egg yolks."", ""Return all to saucepan."", ""Return to heat."", ""Bring to a gentle boil, stirring constantly."", ""Cook and stir 2 minutes more. Remove from heat; stir in peanut butter until smooth."", ""Pour into pastry shell; cool."", ""Cover and refrigerate."", ""Garnish with whipped cream or topping.""]",6
4368,4368,Pumpkin Praline Chiffon Pie,"[""6 Tbsp. butter or margarine"", ""1/3 c. packed light brown sugar"", ""1/2 c. chopped pecans"", ""1 1/2 c. canned eggnog"", ""3/4 c. granulated sugar"", ""1 (16 oz.) can pumpkin"", ""1 c. heavy cream, whipped"", ""2 envelopes unflavored gelatin"", ""1 tsp. ground cinnamon"", ""1/2 tsp. ground ginger"", ""1/4 tsp. ground nutmeg"", ""3 eggs, separated"", ""1/4 tsp. cream of tartar"", ""2 Tbsp. bourbon or Jack Daniels""]","[""Bake pie shell at 450\u00b0 for 15 minutes."", ""While shell bakes, cream butter and brown sugar; stir in pecans."", ""Spread in bottom of partly baked pie shell."", ""Bake 5 minutes longer until shell is golden and nut mixture is bubbly."", ""Cool on wire rack."", ""Combine 1/2 cup sugar, gelatin, cinnamon, ginger and nutmeg in a medium size saucepan; beat in egg yolks and eggnog."", ""Heat slowly, stirring constantly, just until gelatin is completely dissolved."", ""Stir in pumpkin; pour into a large bowl."", ""Chill, stirring often, just until mixture mounds when spooned."", ""Beat egg whites with cream of tartar until foamy white in a medium-size bowl."", ""Beat in remaining 1/4 cup sugar, 1 tablespoon at a time, until meringue stands in firm peaks. Fold meringue and 1 cup of whipped cream into mixture."", ""Blend in bourbon."", ""Spoon into crust."", ""Chill several hours until firm."", ""Just before serving, garnish with remaining cream and extra pecans.""]",6
4397,4397,Biscuit Topped Italian Casserole,"[""1 lb. ground meat (chicken or beef)"", ""3/4 c. water"", ""1 (8 oz.) can tomato sauce"", ""1 (9 oz.) pkg. frozen mixed vegetables, thawed"", ""1 Tbsp. butter, melted"", ""1/2 c. onion"", ""1/4 tsp. pepper"", ""1 (6 oz.) can tomato paste"", ""8 oz. shredded Mozzarella cheese"", ""1 (10 oz.) can buttermilk biscuits (refrigerated)"", ""1/2 tsp. dried oregano leaves, crushed""]","[""Brown meat and onion in large skillet; drain."", ""Stir in water, pepper, tomato sauce and paste."", ""Simmer 15 minutes, stirring occasionally."", ""Remove from heat; stir in vegetables and 1 1/2 cups cheese."", ""Spoon mixture into greased 12 x 8 (2-quart) baking dish. Separate refrigerated biscuits into 10 biscuits."", ""Separate each biscuit into 2 layers."", ""Place biscuits near outer edge of hot meat mixture, overlapping each other slightly."", ""Gently brush biscuits with butter."", ""Sprinkle with oregano."", ""Scatter remaining cheese all over meat mixture."", ""Bake at 375\u00b0 for 22 to 27 minutes or until biscuits are browned.""]",6
4838,4838,Pescado En Salsa Verde(Fish In Green Sauce)  ,"[""2 lb. haddock, cod or pollock, cut in 1/2-inch thick steaks"", ""1/2 c. flour"", ""1/3 c. olive oil"", ""1 c. chopped onion"", ""1 1/2 c. water"", ""1/3 c. white wine"", ""3 cloves garlic, finely chopped"", ""2 Tbsp. chopped parsley"", ""1 tsp. salt"", ""1/4 c. green peas (optional)""]","[""Sprinkle fish with salt, then dip the steaks in 1/2 cup of flour; shake to remove the excess."", ""In a heavy skillet, heat the olive oil."", ""Add the fish and cook for about 4 minutes on each side. Transfer oil to a heavy skillet."", ""Cover fish steaks in the pan to keep them warm while you prepare the sauce."", ""Heat the oil again and add the onion."", ""Cook for 5 minutes, stirring constantly, until soft and transparent, but not brown."", ""Stir 2 tablespoons of flour; mix thoroughly and pour in the water and wine."", ""Cook over high heat, stirring constantly, until sauce comes to a boil and thickens lightly."", ""Reduce heat to low and simmer for 3 minutes.""]",6
