100.5829671614301,142.32,[' (StepDescription: Cut-Cut 1/4 block or 3 ounces of fresh tofu into large cubes (about 1 in x 1 in))']
159.4958479274106,243.991,[' (StepDescription: pat-pat tofu dry with a towel)']
283.0692075828819,344.664,[' (StepDescription: Add-Add 1 tablespoon of olive oil to a non-stick pan)']
347.7296864723727,365.846,[' (StepDescription: add-add the tofu cubes to the pan)']
392.27357192957743,416.7008639544962,[' (StepDescription: add-add 1/4 tsp salt to the pan)']
425.3222611397616,433.94365832502706,[' (StepDescription: Turn-Turn on the heat to medium)']
475.38,653.7892865492958,[' (StepDescription: Cook-Cook 5 to 6 minutes until tofu cubes are lightly browned on the bottom)']
653.899,676.342,[' (StepDescription: remove-Briefly remove the pan from the heat to reduce spitting)']
677.216,705.5176696608884,[' (StepDescription: Flip-Flip the tofu with tongs)']
704.391,709.071,[' (StepDescription: Return-Return the heat to medium)']
712.7021673152761,903.8098049219935,[" (ErrorTag:Technique Error, ErrorDescription:Spilled one out while checking if it's browned), (StepDescription: cook-cook until tofu turns brown), (StepModifiedDescription: cook-cook until tofu turns brown and spilled one out while checking if it's brown)"]
905.683,909.363,[' (StepDescription: remove-Briefly remove from the heat again)']
926.8001974160346,951.042,[' (StepDescription: drizzle-drizzle with the 1 tablespoons sesame oil on the pan)']
969.9071833423618,991.4606763055255,[' (StepDescription: drizzle-drizzle 1 tablespoon soy sauce (watch for spitting) on the pan)']
1000.0820734907909,1008.7034706760562,[' (StepDescription: Return-Return to low heat)']
1011.5772697378114,1119.3447345536295,[' (StepDescription: cook-cook pan for 2 minutes)']
1120.781634084507,1173.9469167269772,[' (StepDescription: flip-flip tofu on the pan)']
1178.25761531961,1261.597788110509,[' (StepDescription: cook-cook pan for 2 minutes until the colour is darkened)']
1267.3453862340195,1313.452,[' (StepDescription: Transfer-Transfer to a serving dish)']
