16.16222072779923,96.97332436679537,[' (ErrorTag:Preparation Error, ErrorDescription:Spill while opening.), (StepDescription: Open-Open a can of tuna), (StepModifiedDescription: Open-Open a can of tuna spilling contents.)']
134.44029059942085,172.64190322876448,[' (ErrorTag:Measurement Error, ErrorDescription:Instead of 1 tsp add 1/2 tsp.), (StepDescription: Add-1 tsp Sriracha sauce to the bowl), (StepModifiedDescription: Add-1/2 tsp Sriracha sauce to the bowl)']
173.37654962548262,190.27341675,[' (ErrorTag:Preparation Error, ErrorDescription:Not draining the excess water and leaving some water behind.), (StepDescription: drain-drain excess water from can), (StepModifiedDescription:  Drain-Drain excess water from can and leave some water behind.)']
210.8435158581081,245.37189650386097,[' (ErrorTag:Preparation Error, ErrorDescription:Taking a non-ripen avocado instead of ripen avocado.), (StepDescription: Take-Take 1 ripe avocado), (StepModifiedDescription: Take-Take 1 non-ripe avocado.)']
248.3104820907336,398.91299341795366,[' (ErrorTag:Technique Error, ErrorDescription:Cutting into thick slices contrary to cutting into thin slices.), (StepDescription: cut-cut avocado into thin slices), (StepModifiedDescription: Cut-Cut avocado into thick slices)']
401.11693260810813,420.21773892278,[' (ErrorTag:Measurement Error, ErrorDescription:Add 1/2 can instead of 1 can tuna.), (StepDescription: Add-Add 1 can drained tuna to the bowl), (StepModifiedDescription: Add-Add 1/2 can drained tuna to the bowl.)']
419.4830925260618,445.19571641119694,[' (ErrorTag:Preparation Error, ErrorDescription:Spill while mixing the contents.), (StepDescription: Mix-Mix the contents of the bowl), (StepModifiedDescription: Mix-Mix the contents of the bowl and spill while mixing.)']
459.8886443455599,542.1690407779923,[' (ErrorTag:Preparation Error, ErrorDescription:Using the unwashed lettuce leaves), (StepDescription: top-top lettuce leaves with the tuna mixture), (StepModifiedDescription: Top-Top 2 unwashed lettuce leaves with the tuna mixture)']
565.6777254729728,592.8596421515443,[' (ErrorTag:Measurement Error, ErrorDescription:Using 1/2 tbsp instead of 1/4 tsp salt.), (StepDescription: Season-Season bowl with 1/4 tsp salt), (StepModifiedDescription: Season-Season bowl with 1/4 tbsp salt)']
603.8793381023166,622.2454980202702,[' (StepDescription: Season-season 1/4 tsp pepper on the bowl)']
639.1423651447876,671.466806600386,[' (StepDescription: Chop-Chop 1 scallion)']
689.8329665183397,705.995187246139,[' (ErrorTag:Other, ErrorDescription:place only on one leaf.), (StepDescription: place-place avocado slices on each leaf), (StepModifiedDescription: Place-Place avocado slices only on one leaf.)']
703.7912480559845,711.8723584198842,[' (ErrorTag:Technique Error, ErrorDescription:Not rolling the lettuce properly and spill.), (StepDescription: Roll-Roll up the lettuce wraps), (StepModifiedDescription: Roll-Roll up the lettuce wraps and spill while rolling.)']
711.137712023166,755.951142222973,[' (ErrorTag:Temperature Error, ErrorDescription:NULL), (ErrorTag:Timing Error, ErrorDescription:NULL), (StepDescription: secure-secure the wrap with a toothpick), (StepModifiedDescription: Secure-Secure the wrap with a toothpick)']
