2.512,52.325,[' (ErrorTag:Measurement Error, ErrorDescription:Take a big cup instead of a 6 Oz ramekin cup.), (StepDescription: Coat -Coat a 6-oz. ramekin cup with cooking spray), (StepModifiedDescription: Coat -Coat a big microwavable cup with cooking spray)']
53.122,145.21699999999998,[' (ErrorTag:Measurement Error, ErrorDescription:Add 2 eggs instead of 1 egg.), (StepDescription: Pour-Pour 1 egg into the ramekin cup), (StepModifiedDescription: Pour-Pour 2 eggs into the ramekin cup)']
151.317,221.44299999999998,[' (ErrorTag:Measurement Error, ErrorDescription:Instead of 1 Tbsp add 2 Tbsp of cheese.), (StepDescription: sprinkle -sprinkle 1 tablespoon of cheese on cup), (StepModifiedDescription: Sprinkle -Sprinkle 2 tablespoon of cheese on cup)']
237.201,285.053,[' (ErrorTag:Technique Error, ErrorDescription:Cutting into two uneven pieces.), (StepDescription: Cut -Cut the English muffin into two pieces with a knife), (StepModifiedDescription: Cut -Cut the English muffin into two uneven pieces with a knife)']
286.8595018977654,321.903,[' (ErrorTag:Timing Error, ErrorDescription:Microwave for less than 15 seconds.), (StepDescription: Microwave -Continue to Microwave for 15-30 more seconds or until the egg is almost set), (StepModifiedDescription: Microwave -Microwave for 10 seconds)']
322.93492467250434,365.751,[' (ErrorTag:Measurement Error, ErrorDescription:Add 3 Tbsp of salsa instead of 1 Tbsp), (StepDescription: Top -Top cup with 1 tablespoon of salsa), (StepModifiedDescription: Top -Top cup with 3 tablespoon of salsa)']
368.776,452.117,[' (ErrorTag:Timing Error, ErrorDescription:Microwave more than 30 seconds.), (ErrorTag:Timing Error, ErrorDescription:Microwave more than 30 seconds.), (StepDescription: Microwave-Microwave the ramekin cup uncovered on high for 30 seconds), (StepModifiedDescription: Microwave-Microwave the ramekin cup uncovered on high for 1 minute 10 seconds)']
398.09205545321043,471.96500000000003,[' (ErrorTag:Preparation Error, ErrorDescription:Use the lettuce without washing.), (StepDescription: Line -Line the bottom piece of the English muffin with lettuce), (StepModifiedDescription: Line -Line the bottom piece of the English muffin with unwashed lettuce.)']
472.466,483.51,[' (ErrorTag:Preparation Error, ErrorDescription:Place the egg below the lettuce.), (StepDescription: Place -Place the egg from the cup over the lettuce), (StepModifiedDescription: Place -Place the egg from the cup below the lettuce.)']
483.522,488.79,[' (ErrorTag:Temperature Error, ErrorDescription:NULL), (StepDescription: replace -replace the top of the English muffin), (StepModifiedDescription: Replace -Replace the top of the English muffin)']
