12.578049183887455,87.98433254103031,[' (ErrorTag:Preparation Error, ErrorDescription:add-1/4 tsp salt to a bowl, not washing the bowl), (StepDescription: add-1/4 tsp salt to a bowl), (StepModifiedDescription: add-1/4 tsp salt to a bowl, not washing the bowl)']
88.64579116697017,304.94276184930106,[' (ErrorTag:Measurement Error, ErrorDescription:Cut-Cut 1/2 cup of cherry tomatoes into halves), (StepDescription: Cut-Cut 1/4 cup of cherry tomatoes into halves), (StepModifiedDescription: Cut-Cut 1/2 cup of cherry tomatoes into halves)']
311.5573481086995,447.81782505230854,[' (ErrorTag:Preparation Error, ErrorDescription:Slice-Slice 4 1/4 inch thick rounds from a baguette (slice slanted). Also baguette are expired.), (StepDescription: Slice-Slice two 1/2 inch thick rounds from a baguette (slice slanted)), (StepModifiedDescription: Slice-Slice 4 1/4 inch thick rounds from a baguette (slice slanted))']
454.432411311707,592.0158055071958,[' (ErrorTag:Measurement Error, ErrorDescription:add-1/8 cup basil to a bowl), (StepDescription: add-1/16 cup basil to a bowl), (StepModifiedDescription: add-1/8 cup basil to a bowl)']
599.2918503925341,640.3022852008048,[' (ErrorTag:Measurement Error, ErrorDescription:add-1/2 tsp pepper to a bowl), (StepDescription: add-1/4 tsp pepper to a bowl), (StepModifiedDescription: add-1/2 tsp pepper to a bowl)']
650.2241645899024,672.0522992459175,[' (StepDescription: add-In a bowl, add the cut cherry tomatoes)']
688.5887648944138,777.2242207703537,[' (ErrorTag:Technique Error, ErrorDescription:pour olive oil using a spoon on 4 slices of baguette. did not use brush. Pour on both sides.), (StepDescription: Brush-Brush 2 slices of baguette with olive oil on both sides), (StepModifiedDescription: pour olive oil using a spoon on 4 slices of baguette. did not use brush)']
781.8544311519325,814.9273624489251,[' (ErrorTag:Temperature Error, ErrorDescription:NULL), (StepDescription: Combine-Combine the contents of the bowl), (StepModifiedDescription: Combine-Combine the contents of the bowl)']
834.1096626011808,900.2555251951658,[' (ErrorTag:Measurement Error, ErrorDescription:add-1/4 cup shredded mozzarella to a bowl), (StepDescription: add-1/8 cup shredded mozzarella to a bowl), (StepModifiedDescription: add-1/8 cup shredded mozzarella to a bowl)']
900.2555251951657,1037.1774607647146,[' (ErrorTag:Timing Error, ErrorDescription:Toast-Toast both sides of the slices on the pan for 30 seconds ), (StepDescription: Toast-Toast both sides of the slices on the pan for 2 to 3 minutes until lightly charred and crispy), (StepModifiedDescription: Toast-Toast both sides of the slices on the pan for 30 seconds )']
1037.828584099624,1055.687967,[' (ErrorTag:Preparation Error, ErrorDescription:Did not use spoon for taking mixture from bowl on the bread. Direclty poured it.), (StepDescription: Spoon-Spoon the mixture from the bowl onto the bread), (StepModifiedDescription: Directly pour mixture from the bowl onto the bread)']
