2.023,36.569,['S0: Measure-Measure 12 ounces of cold water']
39.509,67.788,['S1: Place-Place the dripper on top of a coffee mug']
73.547,105.24199999999999,['S2: Prepare-Prepare the filter insert by folding the paper filter in half to create a semi-circle, and in half again to create a quarter-circle']
112.02799999999999,209.063,['S3: Weigh-Weigh the coffee beans (8oz-12 oz)']
213.837,244.414,['S4: transfer-transfer water to a kettle']
249.266,257.677,['S5: Place-Place the paper filter in the dripper']
257.895,269.576,['S6: spread-spread open filter in dripper to create a cone']
279.291,386.205,['S7: Grind-Grind the coffee beans until the coffee grounds are the consistency of coarse sand, about 20 seconds']
386.767,536.333,['S8: Boil-Boil the water. (While the water is boiling, assemble the filter cone)']
481.303,598.517,['S9: Transfer-Transfer the grounds to the filter cone']
603.51,652.332,['S10: check-Once the water has boiled, check the temperature of the water. (The water should be between 195-205 degrees Fahrenheit or between 91-96 degrees Celsius. If the water is too hot, let it cool briefly.)']
658.345,669.433,['S11: Pour-Pour a small amount of water into the filter to wet the grounds']
669.893,730.04,['S12: Wait-Wait about 30 seconds for the coffee to bloom. (You will see small bubbles or foam on the coffee grounds during this step.)']
733.66,773.438,['S13: pour-Slowly pour the rest of the water over the grounds in a circular motion. Do not overfill beyond the top of the paper filter']
785.8886415874538,821.138,['S14: drain-Let the coffee drain completely into the mug before removing the dripper']
823.19,853.478,['S15: Discard-Discard the paper filter and coffee grounds']
